Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,143.000000,-78.150000,90.000000,top
C2,22uF,C_0805_2012Metric,145.100000,-78.150000,90.000000,top
C3,1uF,C_0402_1005Metric,150.050000,-74.550000,180.000000,top
C4,100nF,C_0402_1005Metric,147.500000,-83.100000,180.000000,top
C5,100nF,C_0402_1005Metric,150.800001,-83.600000,90.000000,top
C6,22uF,C_0805_2012Metric,145.100000,-81.800000,90.000000,top
C7,22uF,C_0805_2012Metric,143.000000,-81.800000,90.000000,top
C8,22pF,C_0402_1005Metric,153.200000,-79.300000,270.000000,top
D1,KAPUTT :(,LED_0603_1608Metric,103.300000,-86.700000,180.000000,top
D2,PWR,LED_0603_1608Metric,138.350000,-85.750000,90.000000,top
D3,LED1,LED_0603_1608Metric,145.250000,-10.050000,0.000000,top
D4,LED2,LED_0603_1608Metric,152.250000,-10.050000,0.000000,top
F1,2A,Fuse_Littelfuse-NANO2-451_453,104.550000,-89.700001,0.000000,top
L1,10uH,L_Sumida_CDMC6D28_7.25x6.5mm,145.300000,-87.450000,180.000000,top
R1,5.1kR,R_0402_1005Metric,106.100000,-86.700000,180.000000,top
R2,22kR,R_0402_1005Metric,149.500000,-83.600000,90.000000,top
R3,5.1kR,R_0402_1005Metric,138.350000,-88.350000,90.000000,top
R4,100kR,R_0402_1005Metric,152.200000,-79.300000,90.000000,top
R5,22kR,R_0402_1005Metric,152.200001,-77.350000,270.000000,top
R6,5.1kR,R_0402_1005Metric,146.050000,-12.950000,90.000000,top
R7,5.1kR,R_0402_1005Metric,153.050000,-12.950000,90.000000,top
U1,SY8204,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,148.900000,-78.800000,90.000000,top
